City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,saundatti,15.7833,75.1167,20.18,89,100,2.14,IN,1701827823
112,asau,46.4333,26.4,0.71,74,100,0.19,RO,1701827281
113,afaahiti,-17.75,-149.2833,25.93,83,100,6.4,PF,1701827823
114,shemysheyka,52.892,45.3928,-13.87,99,83,2.23,RU,1701827823
115,kabo,7.6994,18.629,26.42,49,52,1.87,CF,1701827824
116,labasa,-16.4167,179.3833,31.04,60,75,2.96,FJ,1701827824
117,sandpoint,48.2766,-116.5533,8.08,100,100,2.06,US,1701827659
118,naryn,41.4287,75.9911,-5.43,54,12,3.72,KG,1701827824
119,zhangjiakou shi xuanhua qu,40.6103,115.0447,-0.21,26,2,4.13,CN,1701827824
120,la oliva,28.6105,-13.9291,18.66,73,40,0.51,ES,1701827825
121,utrik,11.2278,169.8474,27.8,75,71,8.54,MH,1701827235
122,olonkinbyen,70.9221,-8.7187,-2.47,77,96,6.77,SJ,1701827825
123,nalhati,24.3,87.8167,22.24,54,100,1.1,IN,1701827825
124,kodiak,57.79,-152.4072,-1.27,64,40,13.89,US,1701827633
125,srandakan,-7.9386,110.2506,29.47,68,72,3.1,ID,1701827826
126,aasiaat,68.7098,-52.8699,-19.23,94,28,4.35,GL,1701827826
127,viedma,-40.8135,-62.9967,18.37,65,37,9.08,AR,1701827826
128,iqaluit,63.7506,-68.5145,-13.15,84,20,2.06,CA,1701827826
129,carnarvon,-24.8667,113.6333,26.96,62,0,9.69,AU,1701827827
130,taltal,-25.4,-70.4833,18.22,74,0,1.49,CL,1701827827
131,benguela,-12.5763,13.4055,26.44,81,100,1.2,AO,1701827243
132,maxixe,-23.8597,35.3472,23.9,83,75,2.24,MZ,1701827827
133,sisimiut,66.9395,-53.6735,-10.81,74,20,5.6,GL,1701827827
134,stanley,54.868,-1.6985,-0.13,96,100,1.54,GB,1701827827
135,kailua-kona,19.6406,-155.9956,27.98,80,40,4.63,US,1701827091
136,panama city beach,30.1766,-85.8055,14.45,67,0,1.34,US,1701827828
137,ponta delgada,37.7333,-25.6667,19.4,88,75,7.2,PT,1701827232
138,tiksi,71.6872,128.8694,-19.06,93,100,6.52,RU,1701827828
139,torbat-e jam,35.244,60.6225,9.59,25,0,1.96,IR,1701827828
140,dawei,14.0833,98.2,28.52,69,99,1.21,MM,1701827829
141,atafu village,-8.5421,-172.5159,29.1,73,100,3.38,TK,1701827829
142,san patricio,28.017,-97.5169,18.92,69,100,2.75,US,1701827233
143,dehloran,32.6941,47.2679,17.43,28,98,1.35,IR,1701827829
144,pimenta bueno,-11.6725,-61.1936,23.06,94,98,0.82,BR,1701827829
145,prince george,53.9166,-122.753,3.47,76,0,3.6,CA,1701827632
146,anzio,41.4853,12.6179,9.62,73,91,6.24,IT,1701827830
147,debre werk',10.6667,38.1667,13.62,68,88,0.48,ET,1701827830
148,kone,-21.0595,164.8658,29.18,55,100,2.89,NC,1701827830
149,chibougamau,49.9168,-74.3659,-19.21,92,100,0.0,CA,1701827291
150,thinadhoo,0.5333,72.9333,27.97,77,89,3.94,MV,1701827241
151,howard springs,-12.497,131.047,32.95,78,45,1.74,AU,1701827831
152,callao,-12.0667,-77.15,22.07,77,40,5.66,PE,1701827831
153,gadzhiyevo,69.2551,33.3362,-10.42,85,100,5.77,RU,1701827250
154,de aar,-30.6497,24.0123,13.91,69,0,9.33,ZA,1701827831
155,ust'-ilimsk,58.0006,102.6619,-32.65,100,27,0.89,RU,1701827768
156,oranjemund,-28.55,16.4333,15.81,93,54,2.73,NA,1701827832
157,kertih,4.5141,103.4483,28.01,89,20,1.54,MY,1701827832
158,danjiangkou,32.5428,111.5086,14.06,28,0,3.95,CN,1701827832
159,garissa,-0.4536,39.6401,25.24,82,26,2.09,KE,1701827833
160,udachny,66.4167,112.4,-26.59,97,100,3.33,RU,1701827833
161,safi,32.1667,-8.8333,15.99,86,94,8.92,MA,1701827833
162,punta arenas,-53.15,-70.9167,7.06,53,0,19.55,CL,1701827603
163,portland,45.5234,-122.6762,15.06,93,100,3.6,US,1701827256
164,umm kaddadah,13.6017,26.6876,19.06,20,37,5.56,SD,1701827835
165,enewetak,11.3474,162.3373,28.07,71,92,7.98,MH,1701827835
166,sarkhej,22.9833,72.5,17.07,88,34,3.6,IN,1701827635
167,cedeira,43.6797,-8.0209,6.65,70,92,2.48,ES,1701827835
168,stephenville,32.2207,-98.2023,14.31,41,0,0.0,US,1701827835
169,palmwoods,-26.6833,152.9667,31.59,67,0,3.54,AU,1701827835
170,vorgashor,67.5833,63.95,-30.16,95,21,1.35,RU,1701827288
171,tindouf,27.6711,-8.1474,16.25,39,0,3.09,DZ,1701827248
172,margate,51.3813,1.3862,4.83,91,98,2.68,GB,1701827836
173,the pas,53.8251,-101.2541,-4.99,93,100,8.23,CA,1701827836
174,ipil,7.75,122.5167,28.5,73,100,2.68,PH,1701827836
175,tekkali,18.6167,84.2333,22.8,77,100,6.13,IN,1701827836
